,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
2568,1465513,COLOMBO Filippo,Male,23,SUI,Switzerland,MTB,Cycling Mountain Bike,Men's Cross-country,12,NA,2020
2569,1334619,COLOMBOTTO ROSSO Lucrezia,Female,25,ITA,Italy,GLF,Golf,Women's Individual Stroke Play,59,NA,2020
2570,1897479,COLTHRUST Adell,Male,21,TTO,Trinidad and Tobago,ATH,Athletics,Men's 4 x 100m Relay Team,NA,NA,2020
2571,1391316,COMPAORE Benjamin,Male,34,FRA,France,ATH,Athletics,Men's Triple Jump,NA,NA,2020
2572,1322272,CONDE Maria,Female,24,ESP,Spain,BKB,Basketball,Women Team,6,NA,2020
2573,1317849,CONDIE Kyra,Female,25,USA,United States,CLB,Sport Climbing,Women's Combined,11,NA,2020
2574,1343283,CONDORELLI Santo,Male,26,ITA,Italy,SWM,Swimming,Men's 50m Freestyle,NA,NA,2020
2575,1343283,CONDORELLI Santo,Male,26,ITA,Italy,SWM,Swimming,Men's 100m Butterfly,NA,NA,2020
2576,1343283,CONDORELLI Santo,Male,26,ITA,Italy,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,2,Silver,2020
2577,1318621,CONINX Dorian,Male,27,FRA,France,TRI,Triathlon,Men's Individual,17,NA,2020
2578,1318621,CONINX Dorian,Male,27,FRA,France,TRI,Triathlon,Mixed Relay Team,3,Bronze,2020
2579,1452614,CONNERS Corey,Male,29,CAN,Canada,GLF,Golf,Men's Individual Stroke Play,13,NA,2020
2580,1477711,CONNOR Ben,Male,28,GBR,Great Britain,ATH,Athletics,Men's Marathon,NA,NA,2020
2581,1348670,CONNOR Isabelle,Female,21,USA,United States,GRY,Rhythmic Gymnastics,Group All-Around Team,NA,NA,2020
2582,1301672,CONRADIE Pieter,Male,26,RSA,South Africa,ATH,Athletics,Men's 4 x 400m Relay,NA,NA,2020
2583,1282079,CONROY Jordan,Male,27,IRL,Ireland,RUG,Rugby Sevens,Men Team,10,NA,2020
2584,1376282,CONSOLINI Chiara,Female,33,ITA,Italy,BK3,3x3 Basketball,Women Team,6,NA,2020
2585,1346202,CONSONNI Simone,Male,26,ITA,Italy,CTR,Cycling Track,Men's Team Pursuit Team,1,Gold,2020
2586,1346202,CONSONNI Simone,Male,26,ITA,Italy,CTR,Cycling Track,Men's Omnium,NA,NA,2020
2587,1346202,CONSONNI Simone,Male,26,ITA,Italy,CTR,Cycling Track,Men's Madison Team,10,NA,2020
2588,1432427,CONSTANTINE Kyra,Female,23,CAN,Canada,ATH,Athletics,Women's 400m,NA,NA,2020
2589,1432427,CONSTANTINE Kyra,Female,23,CAN,Canada,ATH,Athletics,Women's 4 x 400m Relay Team,4,NA,2020
2590,1354946,CONSTANTINO Gabriel,Male,26,BRA,Brazil,ATH,Athletics,Men's 110m Hurdles,NA,NA,2020
2591,1889065,CONSTIEN Valerie,Female,25,USA,United States,ATH,Athletics,Women's 3000m Steeplechase,12,NA,2020
2592,1398662,CONTE Aissata Deen,Female,19,GUI,Guinea,ATH,Athletics,Women's 100m,NA,NA,2020
2593,1366894,CONTE Facundo,Male,31,ARG,Argentina,VVO,Volleyball,Men Team,3,Bronze,2020
2594,1358220,CONTRERAS Isabel,Female,32,ESP,Spain,CSP,Canoe Sprint,Women's Kayak Single 500m,19,NA,2020
2595,1449499,CONYEDO RUANO Abraham de Jesus,Male,27,ITA,Italy,WRE,Wrestling,Men's Freestyle 97kg,3,Bronze,2020
2596,1444671,COOK Oliver,Male,31,GBR,Great Britain,ROW,Rowing,Men's Four Team,4,NA,2020
2597,1699090,COOK Tamsin,Female,22,AUS,Australia,SWM,Swimming,Women's 400m Freestyle,NA,NA,2020
2598,1699090,COOK Tamsin,Female,22,AUS,Australia,SWM,Swimming,Women's 4 x 200m Freestyle Relay Team,3,Bronze,2020
2599,1281507,COOKE Aoife,Female,34,IRL,Ireland,ATH,Athletics,Women's Marathon,NA,NA,2020
2600,1444328,COOKE James,Male,30,GBR,Great Britain,MPN,Modern Pentathlon,Men's Individual,9,NA,2020
2601,1468800,COOMBES Alec,Male,25,GBR,Great Britain,RUG,Rugby Sevens,Men Team,4,NA,2020
2602,1482698,COONEY-CROSS Kyra,Female,19,AUS,Australia,FBL,Football,Women Team,4,NA,2020
2603,1470190,COOPER Anton,Male,26,NZL,New Zealand,MTB,Cycling Mountain Bike,Men's Cross-country,6,NA,2020
2604,1844599,COOPER Isaac,Male,17,AUS,Australia,SWM,Swimming,Men's 100m Backstroke,NA,NA,2020
2605,1844599,COOPER Isaac,Male,17,AUS,Australia,SWM,Swimming,Mixed 4 x 100m Medley Relay Team,3,Bronze,2020
2606,1898631,COOPER Lacarthea,Female,17,BAH,Bahamas,ATH,Athletics,Women's 4 x 400m Relay Team,NA,NA,2020
2607,1365532,COPELLO Yasmani,Male,34,TUR,Turkey,ATH,Athletics,Men's 400m Hurdles,6,NA,2020
2608,1477714,COPPELL Harry,Male,25,GBR,Great Britain,ATH,Athletics,Men's Pole Vault,7,NA,2020
2609,1398929,COPPONI Clara,Female,22,FRA,France,CTR,Cycling Track,Women's Omnium,8,NA,2020
2610,1398929,COPPONI Clara,Female,22,FRA,France,CTR,Cycling Track,Women's Madison Team,5,NA,2020
2611,1343035,COQUILLARD Andre Jin,Male,30,KOR,South Korea,RUG,Rugby Sevens,Men Team,12,NA,2020
2612,1467464,CORBEAU Caspar,Male,20,NED,Netherlands,SWM,Swimming,Men's 100m Breaststroke,NA,NA,2020
2613,1467464,CORBEAU Caspar,Male,20,NED,Netherlands,SWM,Swimming,Men's 200m Breaststroke,NA,NA,2020
2614,1324753,CORBETT Kaylene,Female,22,RSA,South Africa,SWM,Swimming,Women's 200m Breaststroke,5,NA,2020
2615,1404207,CORCHETE Luis Manuel,Male,37,ESP,Spain,ATH,Athletics,Men's 50km Race Walk,NA,NA,2020
2616,1294052,CORDON Kevin,Male,34,GUA,Guatemala,BDM,Badminton,Men's Singles,4,NA,2020
2617,1301345,CORDOVA Sebastian,Male,24,MEX,Mexico,FBL,Football,Men Team,3,Bronze,2020
2618,1362812,CORIA Federico,Male,29,ARG,Argentina,TEN,Tennis,Men's Singles,33,NA,2020
2619,1314429,CORMENIER Carole,Female,31,FRA,France,SHO,Shooting,Trap Women,12,NA,2020
2620,1391320,CORMONT Ethan,Male,20,FRA,France,ATH,Athletics,Men's Pole Vault,NA,NA,2020
2621,1891958,CORNELIE Petr,Male,26,FRA,France,BKB,Basketball,Men Team,2,Silver,2020
2622,1334283,CORNET Alize,Female,31,FRA,France,TEN,Tennis,Women's Singles,33,NA,2020
2623,1334283,CORNET Alize,Female,31,FRA,France,TEN,Tennis,Women's Doubles Team,9,NA,2020
2624,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's All-Around,NA,NA,2020
2625,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Floor Exercise,NA,NA,2020
2626,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Pommel Horse,NA,NA,2020
2627,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Rings,NA,NA,2020
2628,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Vault,NA,NA,2020
2629,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Parallel Bars,NA,NA,2020
2630,1305791,CORRAL Daniel,Male,31,MEX,Mexico,GAR,Artistic Gymnastics,Men's Horizontal Bar,NA,NA,2020
